beer_style,avg_overall
Altbier,3.824053739826896
American Adjunct Lager,3.001658590523269
American Amber / Red Ale,3.781016393442623
American Amber / Red Lager,3.5646010095585865
American Barleywine,3.8967710554869606
American Black Ale,3.934474925738249
American Blonde Ale,3.5917413169888417
American Brown Ale,3.857433687789066
American Dark Wheat Ale,3.6438775510204082
American Double / Imperial IPA,3.998016911499587
American Double / Imperial Pilsner,3.8586936522539097
American Double / Imperial Stout,4.029819544423627
American IPA,3.965220904026874
American Malt Liquor,2.678853503184713
American Pale Ale (APA),3.8522956450494736
American Pale Lager,3.4089460380261567
American Pale Wheat Ale,3.646917864815733
American Porter,3.895742531103891
American Stout,3.865310946287391
American Strong Ale,3.873501330411645
American Wild Ale,4.0932617736315615
Baltic Porter,3.955409609402005
Belgian Dark Ale,3.7473249770712322
Belgian IPA,3.9587041937294525
Belgian Pale Ale,3.8199338638007645
Belgian Strong Dark Ale,3.9133193789412326
Belgian Strong Pale Ale,3.8956017783423307
Berliner Weissbier,3.9011510791366906
Bière de Champagne / Bière Brut,3.6481835564053537
Bière de Garde,3.8802942487739633
Black & Tan,3.4868532654792195
Bock,3.6478140180430256
Braggot,3.652403846153846
California Common / Steam Beer,3.8478207033184746
Chile Beer,3.1132983377077865
Cream Ale,3.6022771506422733
Czech Pilsener,3.794662480376766
Doppelbock,3.8728051983962395
Dortmunder / Export Lager,3.833108108108108
Dubbel,3.9217334734524347
Dunkelweizen,3.856781802864364
Eisbock,3.977093503567405
English Barleywine,3.850593547447382
English Bitter,3.784055991806077
English Brown Ale,3.762133934056932
English Dark Mild Ale,3.837510803802939
English India Pale Ale (IPA),3.732470706184598
English Pale Ale,3.686565250833262
English Pale Mild Ale,3.657857142857143
English Porter,3.9179464285714287
English Stout,3.7481776010603047
English Strong Ale,3.7832881850385496
Euro Dark Lager,3.412926776894997
Euro Pale Lager,3.2027754648903692
Euro Strong Lager,2.862518355359765
Extra Special / Strong Bitter (ESB),3.847025331164304
Faro,3.6001642036124797
Flanders Oud Bruin,3.9025025025025024
Flanders Red Ale,3.992722088835534
Foreign / Export Stout,3.877679169457468
Fruit / Vegetable Beer,3.415123593514663
German Pilsener,3.7315608919382504
Gose,3.9650145772594754
Gueuze,4.086287235812947
Happoshu,2.9149377593360994
Hefeweizen,3.9296259137164973
Herbed / Spiced Beer,3.470929670117055
Irish Dry Stout,3.782334259626836
Irish Red Ale,3.6897295924844484
Japanese Rice Lager,3.119987063389392
Keller Bier / Zwickel Bier,3.981088382863759
Kölsch,3.7896233120113716
Kristalweizen,3.720508166969147
Kvass,3.355218855218855
Lambic - Fruit,3.8922831050228313
Lambic - Unblended,4.048922800718133
Light Lager,2.6988330654741106
Low Alcohol Beer,2.5782681099084095
Maibock / Helles Bock,3.8291866930543774
Märzen / Oktoberfest,3.772690558177103
Milk / Sweet Stout,3.892526203858423
Munich Dunkel Lager,3.714078831381438
Munich Helles Lager,3.869440914866582
Oatmeal Stout,3.9416919261504546
Old Ale,3.899000204039992
Pumpkin Ale,3.619646302250804
Quadrupel (Quad),4.07162999004755
Rauchbier,3.7945482079757697
Roggenbier,3.948497854077253
Russian Imperial Stout,4.023083744388406
Rye Beer,3.9817374136229025
Sahti,3.700282752120641
Saison / Farmhouse Ale,3.962563532401525
Schwarzbier,3.835029513535518
Scotch Ale / Wee Heavy,3.8742617969153144
Scottish Ale,3.777948100295631
Scottish Gruit / Ancient Herbed Ale,3.6868411486732096
Smoked Beer,3.7582049564634965
Tripel,3.914287127407017
Vienna Lager,3.762564217109672
Weizenbock,4.00796855078623
Wheatwine,3.8155627355950457
Winter Warmer,3.7039349499056193
Witbier,3.7768911745189118
